Date,True Values,Predicted Values
2019-12-10,5.93,6.029958
2019-12-11,5.95,6.0126667
2019-12-12,5.98,6.0534244
2019-12-13,6.04,6.071038
2019-12-16,6.02,6.0919495
2019-12-17,6.08,6.0942154
2019-12-18,6.05,6.1216106
2019-12-19,6.08,6.1357737
2019-12-20,6.03,6.123104
2019-12-23,6.11,6.125187
2019-12-24,6.1,6.1536007
2019-12-26,6.11,6.160495
2019-12-27,6.16,6.174534
2019-12-30,6.15,6.2040997
2019-12-31,6.09,6.179381
2020-01-02,6.09,6.141921
2020-01-03,6.15,6.1656027
2020-01-06,6.08,6.1790996
2020-01-07,6.11,6.141362
2020-01-08,6.06,6.115261
2020-01-09,6.06,6.140429
2020-01-10,6.11,6.1264796
2020-01-13,6.06,6.14658
2020-01-14,6.06,6.129128
2020-01-15,6.06,6.103036
2020-01-16,6.05,6.101473
2020-01-17,6.06,6.1110086
2020-01-20,6.05,6.1107316
2020-01-21,6.02,6.099361
2020-01-22,6.05,6.0887003
2020-01-23,6.01,6.0931826
2020-01-24,5.97,6.0585356
2020-01-28,5.78,5.9995117
2020-01-29,5.86,5.9211516
2020-01-30,5.68,5.900364
2020-01-31,5.55,5.7678747
2020-02-03,5.45,5.5798273
2020-02-04,5.59,5.6392117
2020-02-05,5.75,5.7500134
2020-02-06,5.75,5.8889093
2020-02-07,5.86,5.887985
2020-02-10,5.79,5.8988495
2020-02-11,5.72,5.8536177
2020-02-12,5.6,5.7953935
2020-02-13,5.66,5.722659
2020-02-14,5.69,5.7613854
2020-02-17,5.75,5.8183107
2020-02-18,5.63,5.7438745
2020-02-19,5.56,5.7111387
2020-02-20,5.57,5.6799912
2020-02-21,5.57,5.653569
2020-02-24,5.49,5.609727
2020-02-25,5.5,5.5665665
2020-02-26,5.54,5.622367
2020-02-27,5.52,5.6340375
2020-02-28,5.51,5.5838604
2020-03-02,5.47,5.564269
2020-03-03,5.44,5.6049824
2020-03-04,5.46,5.5433664
2020-03-05,5.48,5.5756235
2020-03-06,5.41,5.5589314
2020-03-09,5.23,5.4638205
2020-03-10,5.25,5.3172975
2020-03-11,5.29,5.3903465
2020-03-12,5.28,5.3895874
2020-03-13,5.28,5.311906
2020-03-16,4.9,5.152501
2020-03-17,4.82,4.798944
2020-03-18,4.71,4.950542
2020-03-19,4.42,4.689888
2020-03-20,4.7,4.883843
2020-03-23,4.56,4.49939
2020-03-24,4.52,4.586537
2020-03-25,4.6,4.7484894
2020-03-26,4.78,4.7428703
2020-03-27,4.95,5.079125
2020-03-30,5.0,5.0682144
2020-03-31,5.05,5.144869
2020-04-01,4.99,5.150176
2020-04-02,4.99,5.014659
2020-04-03,4.99,5.1889133
